oa_code,All people aged 16 to 64 in households,AB Higher and intermediate managerial/administrative/professional,"C1 Supervisory, clerical, junior managerial/administrative/professional",C2 Skilled manual workers,"DE Semi-skilled and unskilled manual workers; on state benefit, unemployed, lowest grade workers"
S00089345,75,26,30,12,7
S00089346,92,44,40,4,4
S00089347,62,34,23,4,1
S00089348,60,39,16,4,1
S00089349,63,11,29,16,7
S00089350,79,40,20,15,4
S00089351,110,53,34,16,7
S00089352,102,42,35,16,9
S00089353,72,31,24,13,4
S00089354,47,13,16,16,2
S00089355,101,42,32,20,7
S00089356,46,5,13,10,18
S00089357,81,7,32,24,18
S00089358,56,7,13,12,24
S00089359,73,7,27,19,20
S00089360,79,9,31,26,13
S00089361,89,10,40,20,19
S00089362,34,14,15,4,1
S00089363,48,23,8,17,0
S00089364,86,11,53,11,11
S00089365,112,31,55,12,14
S00089366,93,20,32,23,18
S00089367,69,8,19,21,21
S00089368,53,10,25,12,6
S00089369,99,19,44,16,20
S00089370,63,10,21,10,22
S00089371,92,13,43,21,15
S00089372,37,13,10,10,4
S00089373,83,24,30,24,5
S00089374,39,11,21,2,5
S00089375,66,33,22,4,7
S00089376,61,27,18,6,10
S00089377,41,13,18,10,0
S00089378,58,25,28,3,2
S00089379,96,28,40,17,11
S00089380,96,38,40,14,4
S00089381,57,34,16,3,4
S00089382,61,24,18,18,1
S00089383,64,42,11,8,3
S00089384,72,37,26,9,0
S00089385,87,35,24,14,14
S00089386,124,80,29,12,3
S00089387,88,49,15,15,9
S00089388,106,53,23,22,8
S00089389,51,28,11,6,6
S00089390,51,22,11,6,12
S00089391,71,2,28,15,26
S00089392,46,5,12,7,22
S00089393,48,1,17,11,19
S00089394,22,6,4,7,5
S00089395,61,8,16,12,25
S00089396,48,2,12,14,20
S00089397,67,14,24,20,9
S00089398,58,21,28,5,4
S00089399,4,0,1,2,1
S00089400,64,31,19,10,4
S00089401,42,2,18,4,18
S00089402,48,7,22,7,12
S00089403,64,32,17,6,9
S00089404,53,33,17,3,0
S00089405,64,38,18,4,4
S00089406,96,76,6,8,6
S00089407,75,28,16,19,12
S00089408,66,25,27,9,5
S00089409,74,35,26,12,1
S00089410,83,53,17,8,5
S00089411,65,27,16,20,2
S00089412,95,59,23,8,5
S00089413,120,63,32,20,5
S00089414,36,11,11,4,10
S00089415,63,11,18,19,15
S00089416,96,51,18,17,10
S00089417,84,50,20,9,5
S00089418,77,52,10,9,6
S00089419,77,50,23,2,2
S00089420,96,47,31,9,9
S00089421,103,78,10,10,5
S00089422,53,26,18,6,3
S00089423,99,66,24,7,2
S00089424,89,67,12,10,0
S00089425,133,83,35,9,6
S00089426,123,70,37,14,2
S00089427,50,32,7,8,3
S00089428,52,15,24,6,7
S00089429,73,44,17,11,1
S00089430,57,32,16,7,2
S00089431,47,20,15,8,4
S00089432,37,22,4,6,5
S00089433,52,17,24,6,5
S00089434,53,34,15,2,2
S00089435,70,54,10,6,0
S00089436,66,41,19,3,3
S00089437,88,62,17,8,1
S00089438,94,56,24,2,12
S00089439,76,52,11,9,4
S00089440,34,19,3,4,8
S00089441,59,3,12,17,27
S00089442,79,31,24,8,16
S00089443,50,26,17,4,3
S00089444,129,45,62,15,7
S00089445,135,45,63,18,9
