oa_code,All people aged 16 to 64 in households,AB Higher and intermediate managerial/administrative/professional,"C1 Supervisory, clerical, junior managerial/administrative/professional",C2 Skilled manual workers,"DE Semi-skilled and unskilled manual workers; on state benefit, unemployed, lowest grade workers"
S00106520,76,17,45,1,13
S00106521,41,1,23,11,6
S00106522,64,24,23,6,11
S00106523,74,33,31,6,4
S00106524,68,12,27,10,19
S00106525,87,7,28,13,39
S00106526,106,23,36,23,24
S00106527,77,17,28,18,14
S00106528,123,58,47,8,10
S00106529,69,23,22,10,14
S00106530,82,15,32,18,17
S00106531,87,24,22,15,26
S00106532,86,18,39,8,21
S00106533,122,33,57,10,22
S00106534,71,27,16,12,16
S00106535,72,32,28,7,5
S00106536,64,30,14,6,14
S00106537,42,7,17,7,11
S00106538,84,16,37,9,22
S00106539,44,21,19,2,2
S00106540,75,18,47,5,5
S00106541,68,24,32,6,6
S00106542,122,38,71,2,11
S00106543,88,29,45,2,12
S00106544,58,11,34,2,11
S00106545,70,14,37,7,12
S00106546,51,6,38,2,5
S00106547,113,23,71,5,14
S00106548,68,12,53,0,3
S00106549,108,32,70,0,6
S00106550,71,33,26,10,2
S00106551,58,30,22,6,0
S00106552,53,30,17,3,3
S00106553,35,20,15,0,0
S00106554,31,22,9,0,0
S00106555,61,37,14,7,3
S00106556,62,26,15,16,5
S00106557,51,28,6,6,11
S00106558,81,33,42,4,2
S00106559,68,20,42,3,3
S00106560,60,22,30,5,3
S00106561,62,50,11,0,1
S00106562,64,21,20,20,3
S00106563,45,18,19,2,6
S00106564,78,18,40,8,12
S00106565,68,25,28,6,9
S00106566,46,21,14,4,7
S00106567,45,18,12,3,12
S00106568,98,53,30,8,7
S00106569,114,61,31,11,11
S00106570,65,39,19,6,1
S00106571,34,14,16,1,3
S00106572,96,48,35,6,7
S00106573,124,31,65,11,17
S00106574,83,27,30,13,13
S00106575,55,17,23,8,7
S00106576,40,16,21,3,0
S00106577,58,19,25,0,14
S00106578,64,16,35,5,8
S00106579,54,15,22,7,10
S00106580,85,6,15,16,48
S00106581,54,7,5,12,30
S00106582,45,0,17,8,20
S00106583,80,55,21,4,0
S00106584,119,33,67,6,13
S00106585,105,26,50,17,12
S00106586,61,3,21,13,24
S00106587,49,2,23,10,14
S00106588,58,7,16,16,19
S00106589,70,3,27,17,23
S00106590,75,1,30,17,27
S00106591,85,14,37,19,15
S00106592,41,0,20,10,11
S00106593,48,10,26,5,7
S00106594,72,34,26,10,2
S00106595,50,26,20,2,2
S00106596,59,8,29,17,5
S00106597,65,18,24,11,12
S00106598,33,10,14,6,3
S00106599,11,6,5,0,0
S00106600,56,17,20,12,7
S00106601,62,39,19,2,2
S00106602,44,25,17,0,2
S00106603,59,21,24,3,11
S00106604,42,20,13,5,4
S00106605,42,5,30,5,2
S00106606,77,60,13,2,2
S00106607,27,17,10,0,0
S00106608,38,28,5,3,2
S00106609,40,23,11,4,2
S00106610,94,63,22,8,1
S00106611,108,69,23,8,8
S00106612,50,0,13,12,25
S00106613,75,3,12,16,44
S00106614,57,6,37,2,12
S00106615,95,15,31,25,24
S00106616,45,2,4,14,25
S00106617,30,6,13,7,4
S00106618,83,12,35,18,18
S00106619,98,7,21,17,53
S00106620,111,3,36,24,48
S00106621,57,39,9,7,2
S00106622,68,13,32,12,11
S00106623,81,25,25,12,19
S00106624,62,33,17,3,9
S00106625,41,13,14,9,5
S00106626,77,45,21,7,4
S00106627,38,23,9,6,0
S00106628,57,16,24,6,11
S00106629,65,8,33,14,10
S00106630,47,15,24,7,1
S00106631,87,33,29,7,18
S00106632,62,35,19,6,2
S00106633,78,39,24,9,6
S00106634,53,12,15,5,21
S00106635,76,2,15,30,29
S00106636,38,15,12,5,6
S00106637,100,29,28,20,23
S00106638,40,6,12,11,11
S00106639,81,3,22,12,44
S00106640,62,3,15,10,34
S00106641,69,0,10,19,40
S00106642,106,16,24,21,45
S00106643,116,11,18,21,66
S00106644,74,6,25,11,32
S00106645,36,4,17,0,15
S00106646,72,11,20,20,21
S00106647,66,0,11,10,45
S00106648,73,5,19,17,32
S00106649,85,4,23,26,32
S00106650,68,0,25,17,26
S00106651,50,33,14,2,1
S00106652,77,22,32,14,9
S00106653,74,15,22,12,25
S00106654,44,16,22,0,6
S00106655,38,11,19,3,5
S00106656,51,0,8,4,39
S00106657,91,5,25,14,47
S00106658,91,55,26,2,8
S00106659,56,30,18,5,3
S00106660,56,28,20,3,5
S00106661,32,10,12,4,6
S00106662,96,58,36,0,2
S00106663,73,8,17,25,23
S00106664,116,42,54,10,10
S00106665,81,1,21,28,31
S00106666,85,5,25,16,39
S00106667,57,4,19,15,19
S00106668,66,4,23,12,27
S00106669,52,19,20,6,7
S00106670,75,29,19,10,17
S00106671,31,7,10,7,7
S00106672,59,20,12,17,10
S00106673,58,0,10,17,31
S00106674,57,15,24,6,12
S00106675,52,12,16,9,15
S00106676,81,44,19,12,6
S00106677,52,5,18,14,15
S00106678,76,22,26,11,17
S00106679,72,29,23,7,13
S00106680,44,22,17,4,1
S00106681,83,31,38,5,9
S00106682,18,4,2,5,7
S00106683,75,29,25,6,15
S00106684,70,32,26,7,5
S00106685,39,20,13,2,4
S00106686,22,9,8,4,1
S00106687,39,0,15,11,13
S00106688,34,13,19,2,0
S00106689,37,13,11,11,2
S00106690,47,16,19,3,9
S00106691,64,8,32,20,4
S00106692,66,44,19,0,3
S00106693,51,1,22,9,19
S00106694,83,2,10,26,45
S00106695,93,4,11,28,50
S00106696,82,0,19,22,41
S00106697,66,1,17,7,41
S00106698,62,6,13,6,37
S00106699,75,1,24,20,30
S00106700,77,2,23,23,29
S00106701,64,6,7,27,24
S00106702,59,8,16,9,26
S00106703,83,25,36,11,11
S00106704,64,35,18,5,6
S00106705,34,24,5,3,2
S00106706,73,54,10,2,7
S00106707,29,17,12,0,0
S00106708,73,1,29,12,31
S00106709,51,15,18,10,8
S00106710,39,3,13,3,20
S00106711,102,37,37,14,14
S00106712,56,28,17,5,6
S00106713,61,31,24,6,0
S00106714,83,45,25,6,7
S00106715,43,7,22,11,3
S00106716,38,14,19,4,1
S00106717,92,21,63,1,7
S00106718,60,13,14,18,15
S00106719,69,6,16,23,24
S00106720,86,12,41,17,16
S00106721,90,27,40,13,10
S00106722,57,36,9,8,4
S00106723,66,21,36,3,6
S00106724,40,18,11,10,1
S00106725,100,29,48,7,16
S00106726,87,43,32,6,6
S00106727,69,36,20,4,9
S00106728,67,24,33,8,2
S00106729,50,20,16,3,11
S00106730,82,46,33,1,2
S00106731,43,19,16,0,8
S00106732,44,19,13,11,1
S00106733,61,15,26,8,12
S00106734,96,31,35,19,11
S00106735,68,14,24,5,25
S00106736,120,35,47,9,29
S00106737,101,27,60,8,6
S00106738,99,24,54,15,6
S00106739,110,10,85,4,11
S00106740,17,12,3,0,2
S00106741,40,18,19,2,1
S00106742,24,1,4,6,13
S00106743,87,6,16,15,50
S00106744,90,22,45,11,12
S00106745,55,14,24,6,11
S00106746,74,9,35,20,10
S00106747,54,10,18,14,12
S00106748,107,29,38,18,22
S00106749,49,22,10,11,6
S00106750,60,20,22,2,16
S00106751,62,6,27,14,15
S00106752,54,5,29,8,12
S00106753,100,12,38,11,39
S00106754,96,8,43,13,32
S00106755,76,12,21,7,36
S00106756,67,17,24,6,20
S00106757,53,17,24,9,3
S00106758,69,25,28,5,11
S00106759,63,27,20,7,9
S00106760,90,51,28,2,9
S00106761,45,19,5,2,19
S00106762,77,39,27,6,5
S00106763,80,24,28,4,24
S00106764,52,8,25,5,14
S00106765,55,11,27,11,6
S00106766,61,24,21,6,10
S00106767,74,11,25,13,25
S00106768,51,15,15,3,18
S00106769,58,3,13,12,30
S00106770,77,28,35,5,9
S00106771,101,22,53,13,13
S00106772,60,34,9,13,4
S00106773,73,14,34,6,19
S00106774,68,3,23,9,33
S00106775,38,2,9,14,13
S00106776,44,2,19,11,12
S00106777,40,4,7,7,22
S00106778,33,2,11,7,13
S00106779,52,3,25,9,15
S00106780,98,25,50,11,12
S00106781,46,20,18,2,6
S00106782,47,18,22,5,2
S00106783,82,23,23,12,24
S00106784,46,13,21,2,10
S00106785,54,17,27,3,7
S00106786,91,25,42,12,12
S00106787,68,12,34,12,10
S00106788,73,22,38,13,0
S00106789,71,16,46,2,7
S00106790,35,4,21,1,9
S00106791,88,28,35,12,13
S00106792,80,26,48,6,0
S00106793,13,5,1,0,7
S00106794,80,31,44,2,3
S00106795,79,23,44,3,9
S00106796,99,45,33,12,9
S00106797,46,26,16,1,3
S00106798,72,20,22,13,17
S00106799,61,21,24,4,12
S00106800,59,12,20,8,19
S00106801,66,10,21,8,27
S00106802,113,37,61,3,12
S00106803,74,16,30,14,14
S00106804,55,22,16,3,14
S00106805,73,19,32,6,16
S00106806,51,7,18,6,20
S00106807,76,7,25,12,32
S00106808,65,11,32,8,14
S00106809,70,24,28,5,13
S00106810,58,16,30,3,9
S00106811,45,11,19,7,8
S00106812,88,23,31,12,22
S00106813,57,6,20,13,18
S00106814,68,21,29,5,13
S00106815,64,19,32,3,10
S00106816,40,7,11,12,10
S00106817,45,3,12,11,19
S00106818,15,3,9,0,3
S00106819,95,45,31,6,13
S00106820,15,0,4,1,10
S00106821,64,7,25,23,9
S00106822,52,13,23,15,1
S00106823,67,10,31,10,16
S00106824,100,31,40,19,10
S00106825,96,12,56,12,16
S00106826,52,12,31,6,3
S00106827,64,17,30,15,2
S00106828,42,7,12,9,14
S00106829,74,12,16,18,28
S00106830,28,2,13,4,9
S00106831,73,7,21,10,35
S00106832,70,17,25,10,18
S00106833,59,10,18,7,24
S00106834,85,10,22,21,32
S00106835,38,16,11,3,8
S00106836,81,25,30,20,6
S00106837,42,10,15,8,9
S00106838,84,0,9,27,48
S00106839,89,7,9,21,52
S00106840,119,41,43,20,15
S00106841,108,31,36,36,5
S00106842,68,16,29,10,13
S00106843,42,8,18,10,6
S00106844,44,4,8,8,24
S00106845,47,3,5,10,29
S00106846,85,22,38,16,9
S00106847,61,12,23,13,13
S00106848,47,17,23,5,2
S00106849,107,27,47,26,7
S00106850,67,5,17,22,23
S00106851,91,30,29,17,15
S00106852,32,3,19,3,7
S00106853,93,15,31,17,30
S00106854,83,27,35,10,11
S00106855,55,6,9,19,21
S00106856,107,33,48,16,10
S00106857,86,28,41,5,12
S00106858,99,43,43,4,9
S00106859,54,17,31,1,5
S00106860,79,7,14,16,42
S00106861,89,10,14,11,54
S00106862,47,31,16,0,0
S00106863,82,28,38,7,9
S00106864,61,19,20,19,3
S00106865,89,34,27,19,9
S00106866,74,32,10,21,11
S00106867,94,31,28,24,11
S00106868,115,46,39,20,10
S00106869,63,10,30,14,9
S00106870,75,26,30,6,13
S00106871,117,10,79,7,21
S00106872,56,10,32,3,11
S00106873,74,15,41,6,12
S00106874,44,4,31,3,6
S00106875,67,24,35,7,1
S00106876,49,14,24,2,9
S00106877,92,7,39,11,35
S00106878,68,11,46,4,7
S00106879,169,32,118,3,16
S00106880,98,15,74,6,3
S00106881,76,40,33,1,2
S00106882,89,59,21,6,3
S00106883,141,59,66,11,5
S00106884,96,39,49,1,7
S00106885,88,34,37,11,6
S00106886,96,28,48,10,10
S00106887,59,13,35,4,7
S00106888,70,27,29,4,10
S00106889,51,25,18,0,8
S00106890,86,40,30,7,9
S00106891,52,30,13,7,2
S00106892,87,54,25,2,6
S00106893,108,46,53,4,5
S00106894,110,66,30,11,3
S00106895,77,30,41,1,5
S00106896,55,34,19,2,0
S00106897,76,38,34,0,4
S00106898,75,8,52,8,7
S00106899,45,6,27,3,9
S00106900,62,36,16,2,8
S00106901,47,15,24,1,7
S00106902,104,55,36,2,11
S00106903,40,21,16,3,0
S00106904,91,50,28,2,11
S00106905,77,43,28,4,2
S00106906,69,40,22,4,3
S00106907,82,35,41,4,2
S00106908,107,73,24,3,7
S00106909,61,24,24,5,8
S00106910,96,16,55,10,15
S00106911,93,7,28,9,49
S00106912,54,18,26,2,8
S00106913,87,12,48,14,13
S00106914,77,19,43,0,15
S00106915,75,20,30,8,17
S00106916,66,8,35,11,12
S00106917,98,28,37,11,22
S00106918,108,34,48,10,16
S00106919,72,21,37,6,8
S00106920,86,27,30,10,19
S00106921,118,38,50,5,25
S00106922,89,22,49,6,12
S00106923,91,28,28,12,23
S00106924,145,35,50,26,34
S00106925,120,51,55,4,10
S00106926,52,8,32,6,6
S00106927,78,3,22,26,27
S00106928,86,15,47,7,17
S00106929,54,15,29,4,6
S00106930,65,10,29,8,18
S00106931,173,36,108,14,15
S00106932,113,41,62,6,4
S00106933,51,31,8,5,7
S00106934,64,29,23,5,7
S00106935,70,30,22,5,13
S00106936,51,11,32,3,5
S00106937,4,4,0,0,0
S00106938,52,24,24,2,2
S00106939,61,28,25,3,5
S00106940,64,37,22,5,0
S00106941,40,22,15,0,3
S00106942,58,25,21,9,3
S00106943,39,23,10,2,4
S00106944,81,25,31,5,20
S00106945,75,37,31,4,3
S00106946,62,37,19,1,5
S00106947,75,42,22,6,5
S00106948,68,37,27,3,1
S00106949,94,44,35,6,9
S00106950,36,24,12,0,0
S00106951,69,30,39,0,0
S00106952,82,42,27,10,3
S00106953,73,32,35,2,4
S00106954,81,35,30,7,9
S00106955,38,18,13,0,7
S00106956,65,38,17,8,2
S00106957,88,47,24,8,9
S00106958,39,25,14,0,0
S00106959,76,47,15,11,3
S00106960,74,34,25,10,5
S00106961,83,58,18,2,5
S00106962,95,67,16,6,6
S00106963,108,60,29,12,7
S00106964,62,2,16,9,35
S00106965,85,1,40,14,30
S00106966,74,4,14,13,43
S00106967,55,7,19,7,22
S00106968,114,5,24,24,61
S00106969,91,1,21,23,46
S00106970,116,2,24,25,65
S00106971,82,7,14,20,41
S00106972,90,11,25,37,17
S00106973,90,3,16,31,40
S00106974,93,6,37,27,23
S00106975,93,7,25,34,27
S00106976,88,13,29,19,27
S00106977,70,31,26,13,0
S00106978,61,20,23,10,8
S00106979,3,2,0,1,0
S00106980,81,9,36,19,17
S00106981,64,6,27,18,13
S00106982,27,2,8,3,14
S00106983,37,9,15,1,12
S00106984,73,25,29,10,9
S00106985,62,15,15,14,18
S00106986,25,2,8,1,14
S00106987,67,2,14,19,32
S00106988,71,5,21,6,39
S00106989,37,0,6,18,13
S00106990,19,1,5,3,10
S00106991,55,9,10,5,31
S00106992,83,16,32,15,20
S00106993,55,17,20,14,4
S00106994,61,9,33,3,16
S00106995,93,44,26,11,12
S00106996,82,40,30,8,4
S00106997,56,11,23,11,11
S00106998,49,10,25,8,6
S00106999,60,21,25,2,12
S00107000,49,26,7,4,12
S00107001,65,10,19,20,16
S00107002,56,5,20,8,23
S00107003,50,4,16,5,25
S00107004,82,15,24,17,26
S00107005,108,9,45,15,39
S00107006,88,14,34,13,27
S00107007,43,9,14,13,7
S00107008,113,5,36,22,50
S00107009,51,7,18,12,14
S00107010,86,44,21,6,15
S00107011,49,8,16,12,13
S00107012,48,7,17,5,19
S00107013,114,21,34,15,44
S00107014,131,50,39,19,23
S00107015,108,33,32,14,29
S00107016,80,31,30,5,14
S00107017,44,9,11,11,13
S00107018,118,23,50,23,22
S00107019,99,35,40,11,13
S00107020,53,18,13,10,12
S00107021,71,32,26,6,7
S00107022,52,6,17,13,16
S00107023,63,23,29,8,3
S00107024,52,18,29,3,2
S00107025,67,31,21,5,10
S00107026,54,26,23,5,0
S00107027,96,50,35,8,3
S00107028,73,15,21,20,17
S00107029,65,30,33,0,2
S00107030,75,33,26,5,11
S00107031,89,37,35,8,9
S00107032,131,43,49,22,17
S00107033,81,34,30,15,2
S00107034,114,40,40,9,25
S00107035,77,37,24,6,10
S00107036,63,33,18,3,9
S00107037,111,51,48,7,5
S00107038,51,3,11,9,28
S00107039,68,21,29,6,12
S00107040,57,23,23,5,6
S00107041,77,36,26,7,8
S00107042,55,24,24,4,3
S00107043,72,6,21,13,32
S00107044,53,25,15,5,8
S00107045,89,46,31,2,10
S00107046,50,12,21,11,6
S00107047,107,55,34,4,14
S00107048,124,54,45,10,15
S00107049,72,29,26,3,14
S00107050,65,3,13,13,36
S00107051,88,7,16,18,47
S00107052,91,5,18,14,54
S00107053,88,11,21,7,49
S00107054,45,4,7,1,33
S00107055,108,50,35,10,13
S00107056,120,34,55,15,16
S00107057,62,26,17,9,10
S00107058,84,29,35,8,12
S00107059,75,24,28,15,8
S00107060,56,26,12,7,11
S00107061,111,20,33,12,46
S00107062,78,33,20,13,12
S00107063,49,7,19,2,21
S00107064,46,15,15,4,12
S00107065,107,50,38,11,8
S00107066,113,39,48,13,13
S00107067,49,7,21,3,18
S00107068,59,34,20,4,1
S00107069,101,47,31,13,10
S00107070,81,20,33,10,18
S00107071,81,20,30,7,24
S00107072,99,18,28,13,40
S00107073,38,7,7,6,18
S00107074,118,53,35,11,19
S00107075,114,59,28,16,11
S00107076,121,29,74,16,2
S00107077,82,7,22,15,38
S00107078,136,54,44,12,26
S00107079,56,24,22,2,8
S00107080,94,23,35,19,17
S00107081,89,25,36,9,19
S00107082,124,26,45,22,31
S00107083,110,60,32,10,8
S00107084,101,49,33,10,9
S00107085,84,36,31,7,10
S00107086,79,31,27,14,7
S00107087,100,46,33,13,8
S00107088,110,45,40,15,10
S00107089,66,13,22,12,19
S00107090,119,28,52,10,29
S00107091,47,15,12,7,13
S00107092,86,16,42,5,23
S00107093,68,16,28,8,16
S00107094,44,10,17,7,10
S00107095,78,21,30,8,19
S00107096,152,9,39,29,75
S00107097,78,23,22,8,25
S00107098,80,24,37,15,4
S00107099,97,28,39,17,13
S00107100,72,13,29,15,15
S00107101,53,17,14,14,8
S00107102,84,27,28,12,17
S00107103,96,35,32,18,11
S00107104,93,42,33,2,16
S00107105,70,2,27,19,22
S00107106,65,20,27,5,13
S00107107,81,39,31,4,7
S00107108,62,17,36,6,3
S00107109,57,24,15,5,13
S00107110,66,4,14,15,33
S00107111,93,20,34,13,26
S00107112,79,20,38,9,12
S00107113,58,20,21,5,12
S00107114,75,46,25,2,2
S00107115,68,36,24,3,5
S00107116,110,53,31,13,13
S00107117,69,27,30,2,10
S00107118,77,21,43,9,4
S00107119,99,48,46,1,4
S00107120,85,32,41,8,4
S00107121,47,17,18,0,12
S00107122,126,48,50,9,19
S00107123,57,22,27,3,5
S00107124,73,17,23,8,25
S00107125,68,17,33,3,15
S00107126,62,22,30,4,6
S00107127,100,18,47,20,15
S00107128,90,32,26,11,21
S00107129,150,52,61,17,20
S00107130,100,44,35,8,13
S00107131,72,20,27,6,19
S00107132,146,41,59,23,23
S00107133,56,23,15,7,11
S00107134,84,24,30,17,13
S00107135,102,31,36,22,13
S00107136,55,28,13,7,7
S00107137,48,14,16,3,15
S00107138,95,31,51,4,9
S00107139,119,39,42,12,26
S00107140,83,17,32,9,25
S00107141,65,34,29,0,2
S00107142,64,15,20,8,21
S00107143,71,16,30,14,11
S00107144,85,17,36,16,16
S00107145,66,23,25,5,13
S00107146,60,19,22,6,13
S00107147,50,26,14,0,10
S00107148,139,30,70,10,29
S00107149,65,18,18,18,11
S00107150,53,8,19,7,19
S00107151,44,7,17,6,14
S00107152,66,26,20,7,13
S00107153,70,19,34,3,14
S00107154,56,10,26,8,12
S00107155,80,21,32,7,20
S00107156,112,13,40,15,44
S00107157,96,19,47,19,11
S00107158,68,13,26,15,14
S00107159,80,11,41,6,22
S00107160,95,21,32,19,23
S00107161,90,11,30,11,38
S00107162,70,18,31,18,3
S00107163,74,14,19,15,26
S00107164,38,2,6,26,4
S00107165,124,10,46,23,45
S00107166,52,11,10,6,25
S00107167,37,4,9,11,13
S00107168,57,10,21,11,15
S00107169,59,5,29,12,13
S00107170,36,6,7,12,11
S00107171,82,8,24,18,32
S00107172,48,0,15,14,19
S00107173,70,0,18,12,40
S00107174,70,1,17,18,34
S00107175,88,5,38,13,32
S00107176,49,15,21,6,7
S00107177,57,15,27,9,6
S00107178,40,10,19,5,6
S00107179,46,8,24,4,10
S00107180,93,14,21,24,34
S00107181,39,1,12,5,21
S00107182,99,15,38,21,25
S00107183,35,6,5,9,15
S00107184,119,15,45,14,45
S00107185,113,14,37,32,30
S00107186,107,23,43,18,23
S00107187,119,12,46,12,49
S00107188,89,19,41,17,12
S00107189,43,7,12,6,18
S00107190,86,4,21,11,50
S00107191,60,9,20,26,5
S00107192,60,13,25,13,9
S00107193,35,8,15,2,10
S00107194,94,7,26,28,33
S00107195,31,6,12,5,8
S00107196,42,5,17,9,11
S00107197,52,8,23,8,13
S00107198,67,23,27,4,13
S00107199,55,12,31,7,5
S00107200,72,30,35,5,2
S00107201,79,14,30,15,20
S00107202,49,7,26,6,10
S00107203,88,18,53,8,9
S00107204,41,12,23,3,3
S00107205,53,11,20,3,19
S00107206,80,21,52,3,4
S00107207,36,5,18,5,8
S00107208,115,9,36,19,51
S00107209,94,25,44,7,18
S00107210,106,37,56,6,7
S00107211,83,31,31,7,14
S00107212,71,22,38,8,3
S00107213,86,27,37,2,20
S00107214,112,27,35,13,37
S00107215,181,11,149,2,19
S00107216,79,9,46,0,24
S00107217,113,24,82,2,5
S00107218,108,10,96,0,2
S00107219,131,47,70,1,13
S00107220,111,15,85,2,9
S00107221,72,7,43,6,16
S00107222,103,22,70,4,7
S00107223,112,23,62,8,19
S00107224,72,11,50,2,9
S00107225,54,0,19,1,34
S00107226,58,9,27,5,17
S00107227,89,5,50,17,17
S00107228,79,13,37,8,21
S00107229,52,14,28,8,2
S00107230,87,13,36,12,26
S00107231,78,21,20,14,23
S00107232,79,16,52,2,9
S00107233,123,4,81,15,23
S00107234,79,12,57,4,6
S00107235,62,12,47,0,3
S00107236,52,31,14,1,6
S00107237,126,45,76,1,4
S00107238,138,35,92,3,8
S00107239,94,19,55,8,12
S00107240,93,14,70,2,7
S00107241,140,41,95,1,3
S00107242,67,47,20,0,0
S00107243,83,28,45,2,8
S00107244,60,23,19,9,9
S00107245,72,21,34,0,17
S00107246,100,61,33,4,2
S00107247,138,30,90,4,14
S00107248,58,12,41,0,5
S00107249,66,46,13,1,6
S00107250,66,20,42,0,4
S00107251,32,15,12,2,3
S00107252,62,32,26,4,0
S00107253,88,63,18,7,0
S00107254,41,25,12,0,4
S00107255,44,38,2,2,2
S00107256,93,63,19,6,5
S00107257,59,22,31,4,2
S00107258,17,8,8,1,0
S00107259,63,26,32,4,1
S00107260,2,0,1,0,1
S00107261,43,11,32,0,0
S00107262,40,14,19,2,5
S00107263,47,19,20,2,6
S00107264,85,44,32,6,3
S00107265,69,37,18,5,9
S00107266,46,31,11,4,0
S00107267,104,27,49,9,19
S00107268,125,51,70,0,4
S00107269,68,31,28,0,9
S00107270,99,71,24,4,0
S00107271,93,57,31,2,3
S00107272,61,44,12,4,1
S00107273,35,21,11,0,3
S00107274,3,0,3,0,0
S00107275,50,7,35,3,5
S00107276,96,33,50,5,8
S00107277,59,23,32,3,1
S00107278,106,53,34,13,6
S00107279,56,35,20,0,1
S00107280,85,50,18,10,7
S00107281,114,37,59,4,14
S00107282,97,69,11,10,7
S00107283,38,12,18,7,1
S00107284,90,58,23,2,7
S00107285,86,62,21,2,1
S00107286,89,36,32,15,6
S00107287,49,25,17,4,3
S00107288,73,35,26,10,2
S00107289,70,36,28,0,6
S00107290,52,26,20,2,4
S00107291,72,35,29,6,2
S00107292,74,51,18,4,1
S00107293,69,44,19,3,3
S00107294,118,72,31,4,11
S00107295,104,59,34,11,0
S00107296,104,66,29,3,6
S00107297,132,94,15,4,19
S00107298,86,18,43,16,9
S00107299,103,31,63,4,5
S00107300,86,31,46,2,7
S00107301,141,55,63,8,15
S00107302,83,32,39,7,5
S00107303,66,23,37,3,3
S00107304,85,22,37,11,15
S00107305,82,30,36,8,8
S00107306,50,28,11,5,6
S00107307,66,23,39,1,3
S00107308,54,19,20,9,6
S00107309,111,47,47,6,11
S00107310,112,44,51,9,8
S00107311,93,35,47,4,7
S00107312,57,20,29,6,2
S00107313,114,43,51,10,10
S00107314,51,11,28,10,2
S00107315,55,16,16,3,20
S00107316,66,18,25,10,13
S00107317,74,34,32,2,6
S00107318,69,22,35,6,6
S00107319,59,7,32,14,6
S00107320,60,7,18,8,27
S00107321,55,6,22,4,23
S00107322,105,15,29,21,40
S00107323,62,37,20,4,1
S00107324,111,20,49,10,32
S00107325,111,29,43,9,30
S00107326,113,44,50,8,11
S00107327,124,13,57,14,40
S00107328,87,27,45,4,11
S00107329,62,9,44,0,9
S00107330,91,20,41,6,24
S00107331,72,15,30,12,15
S00107332,89,18,59,0,12
S00107333,96,34,47,9,6
S00107334,132,53,66,5,8
S00107335,69,35,24,3,7
S00107336,54,24,22,1,7
S00107337,101,42,43,7,9
S00107338,88,26,30,3,29
S00107339,63,21,34,8,0
S00107340,95,47,48,0,0
S00107341,109,51,35,15,8
S00107342,56,31,17,6,2
S00107343,68,2,18,16,32
S00107344,112,18,40,36,18
S00107345,51,1,16,12,22
S00107346,44,4,18,6,16
S00107347,62,5,38,2,17
S00107348,62,9,38,0,15
S00107349,47,7,9,2,29
S00107350,82,3,25,25,29
S00107351,38,6,8,9,15
S00107352,36,4,10,13,9
S00107353,61,7,28,9,17
S00107354,94,2,28,23,41
S00107355,78,4,24,13,37
S00107356,70,5,13,18,34
S00107357,87,5,22,22,38
S00107358,42,4,18,7,13
S00107359,42,4,20,12,6
S00107360,70,0,36,20,14
S00107361,73,50,17,2,4
S00107362,59,30,19,7,3
S00107363,56,26,16,8,6
S00107364,63,26,26,6,5
S00107365,56,27,19,9,1
S00107366,76,44,18,6,8
S00107367,15,2,5,2,6
S00107368,6,3,0,0,3
S00107369,49,30,7,3,9
S00107370,93,50,36,1,6
S00107371,54,31,15,2,6
S00107372,91,63,19,7,2
S00107373,111,56,40,11,4
S00107374,98,37,42,7,12
S00107375,83,24,31,13,15
S00107376,81,61,16,3,1
S00107377,67,20,38,4,5
S00107378,45,30,14,1,0
S00107379,59,42,10,6,1
S00107380,32,27,2,0,3
S00107381,52,29,19,3,1
S00107382,77,15,27,11,24
S00107383,41,0,18,12,11
S00107384,45,8,24,11,2
S00107385,76,30,34,4,8
S00107386,87,25,33,11,18
S00107387,35,7,17,8,3
S00107388,73,14,35,10,14
S00107389,39,17,10,8,4
S00107390,52,15,16,14,7
S00107391,72,7,41,9,15
S00107392,55,13,23,10,9
S00107393,82,19,32,14,17
S00107394,79,14,37,12,16
S00107395,62,10,19,18,15
S00107396,79,21,31,16,11
S00107397,43,10,26,4,3
S00107398,94,21,47,16,10
S00107399,47,15,22,6,4
S00107400,81,18,35,14,14
S00107401,58,23,20,9,6
S00107402,127,28,59,19,21
S00107403,96,25,43,16,12
S00107404,61,15,33,4,9
S00107405,91,34,38,7,12
S00107406,86,17,29,30,10
S00107407,118,32,42,36,8
S00107408,82,30,28,14,10
S00107409,128,36,59,23,10
S00107410,75,10,48,10,7
S00107411,89,16,62,0,11
S00107412,54,5,13,15,21
S00107413,69,5,19,14,31
S00107414,39,3,11,6,19
S00107415,59,5,11,10,33
S00107416,48,9,22,4,13
S00107417,108,11,51,30,16
S00107418,9,0,2,2,5
S00107419,148,15,127,0,6
S00107420,90,24,63,2,1
S00107421,83,38,23,16,6
S00107422,162,105,38,18,1
S00107423,98,54,28,8,8
S00107424,58,21,28,6,3
S00107425,52,30,19,1,2
S00107426,72,33,30,3,6
S00107427,108,47,30,12,19
S00107428,47,21,18,7,1
S00107429,29,14,11,2,2
S00107430,77,5,28,13,31
S00107431,91,21,40,10,20
S00107432,95,7,31,13,44
S00107433,82,10,46,13,13
S00107434,51,13,28,3,7
S00107435,136,36,82,6,12
S00107436,114,43,47,10,14
S00107437,84,22,52,1,9
S00107438,134,3,39,24,68
S00107439,60,6,13,12,29
S00107440,122,3,24,26,69
S00107441,119,6,43,29,41
S00107442,41,2,6,16,17
S00107443,69,4,15,22,28
S00107444,159,9,124,15,11
