oa_code,All people aged 3 and over,Speaks English very well,Speaks English well,Does not speak English well,Does not speak English at all
S00089284,105,98,6,1,0
S00089285,126,105,20,1,0
S00089286,104,89,13,2,0
S00089287,87,86,1,0,0
S00089288,145,121,21,3,0
S00089289,119,100,17,1,1
S00089290,68,62,6,0,0
S00089291,94,83,11,0,0
S00089292,85,79,5,1,0
S00089293,149,124,25,0,0
S00089294,143,125,15,3,0
S00089295,187,154,31,1,1
S00089296,158,128,29,1,0
S00089297,85,77,7,1,0
S00089298,97,84,11,2,0
S00089299,63,48,7,8,0
S00089300,99,86,11,2,0
S00089301,114,94,15,5,0
S00089302,103,99,4,0,0
S00089303,164,148,15,1,0
S00089304,156,140,15,1,0
S00089305,70,63,7,0,0
S00089306,139,118,19,2,0
S00089307,86,77,8,1,0
S00089308,72,61,7,4,0
S00089309,144,123,16,4,1
S00089310,165,129,28,8,0
S00089311,100,86,12,0,2
S00089312,156,148,8,0,0
S00089313,139,130,9,0,0
S00089314,121,110,11,0,0
S00089315,103,94,9,0,0
S00089316,105,98,7,0,0
S00089317,86,82,4,0,0
S00089318,101,93,7,0,1
S00089319,130,119,10,1,0
S00089320,121,110,10,1,0
S00089321,82,79,3,0,0
S00089322,117,104,13,0,0
S00089323,82,73,9,0,0
S00089324,91,83,8,0,0
S00089325,98,87,10,0,1
S00089326,127,118,9,0,0
S00089327,104,99,5,0,0
S00089328,108,99,9,0,0
S00089329,93,86,7,0,0
S00089330,144,132,9,3,0
S00089331,163,151,11,1,0
S00089332,166,161,5,0,0
S00089333,168,153,13,2,0
S00089334,145,139,6,0,0
S00089335,137,125,12,0,0
S00089336,86,81,5,0,0
S00089337,56,46,8,2,0
S00089338,152,148,4,0,0
S00089339,140,135,5,0,0
S00089340,119,108,10,1,0
S00089341,73,71,2,0,0
S00089342,75,68,7,0,0
S00089343,69,55,12,2,0
S00089344,68,59,8,1,0
S00089345,93,80,12,1,0
S00089346,139,134,5,0,0
S00089347,106,100,6,0,0
S00089348,91,89,1,0,1
S00089349,94,86,8,0,0
S00089350,120,113,7,0,0
S00089351,166,146,18,2,0
S00089352,153,129,18,4,2
S00089353,110,108,2,0,0
S00089354,85,80,5,0,0
S00089355,159,153,6,0,0
S00089356,59,51,7,1,0
S00089357,116,106,7,3,0
S00089358,85,81,4,0,0
S00089359,124,115,3,4,2
S00089360,108,94,14,0,0
S00089361,149,138,9,1,1
S00089362,130,95,32,3,0
S00089363,58,47,10,1,0
S00089364,94,84,8,0,2
S00089365,122,107,13,2,0
S00089366,103,88,10,4,1
S00089367,102,94,8,0,0
